,tweet_text,cyberbullying_type,word_count
47037,"@Purely_Ambition: Sooo mad. RT @TracePeterson Fuck Obama that dumb nigger I'm going to Switzerlan yooomaddddddd lmfaoo
Shut the fuck up you dumb nigger. Your in South Milwaukee.
@SmokieeLODNS Yeah! You just a NIGGER. Ignorant! You dumb as fuck as if beating my ass change anything! Like you (cont) http://tl.gd/a72hif
I love everyone who screams about reverse racism. Like I’m not all up for shaming white folk either but y’all ultimately spoon fed bc u white from the jump. U don’t know half the shit colored folks deal with. Pls do not fuckin speak for us minorities
Fuck red &amp; white dumb ugly nigger name Wayne Positive trash soft ass nigga pic.twitter.com/zOY5LMYFjj
Bitch u mad........ I see!!!! RT @tayyoung_: FUCK OBAMA, dumb ass nigger
8.5/10 first of all, i love your profile picture because the sanders side fandom is super cool and all of you are such creative individuals. ur header is glorious, as it is one of my all time fav dan moments. and nice @, i relate
@Dustin___Lee when you find him let me know so I can hunt him #coon
DISGUSTING QUOTE from black racist Prof Henry Gates: We are trying to end what we call the 'one nigger' syndrome."" http://is.gd/1P6hI #TCOT",ethnicity,204
14168,"IT CALLS THE FUNCTION TO THE PROCESS OR IT GE…
Only punk ass low self esteem punks call strong knowledgeable females bitches. As long as she is a good one you wuss that is all that matters.
@LourenzoJeanbs @britneyspears @jamielynnspears This kid bashes gays and jokes about rape. Is this the kind of fan that makes you proud?
RT @JamesAltoft I'm not sexist, but any other driver would just drive not stop every 2 seconds when an open lane is to your left!
Racist jokes rape jokes gay jokes are all PUNCHING DOWN bcuz all r at the expense of the groups with less power
*insert racist joke* Nigga niggas: hahaha it's funny bc it's ironic. *insert joke about homosexuals* gay niggas: oh golly that's a hoot. *insert incest joke* many niggas: what classic jest *insert rape jok- sensitive niggas: :/ shut the fuck up you sicko.
@chsfword Name 3 prominent feminists, please.  No Google.
Annie, the reason why Lloyd hasn't proposed yet is because he is gay. Really gay. #mkr
The weird like the only jokes hes made in the 8 made have all revolved around using the words 'gay' 'rape' 'faggot' and other explatives.""",gender,196
3030,"He embellished the afternoon with moustachioed feints &amp; flicks. By throwing him an England shirt Mercer made a statement about the game
Zoe is rocking the stage. http://t.co/mpXlDSBPBh
ANOTHER home visits round?! i'm literally fucking done #MKR
Today has finally arrived #GKMC
IM FUCKING GOING TO SAN FRANCISCO ON TUESDAY!!!!!!!!!!!!
IM ON THE EDGE... OF GLORY
@nizarnayouf There were no US commandos.
I hate these girls, far out. #mkr
RT @Oh_tobs: Bless I totally forgot about the party favourite Shaz... #MKR
I went old school and changed my other account's name back to @StaceGots which was my original Twitter name back in 08/09.
@GladysMcGee18 +FACE THE DREGS OF HUMANITY, SEE HOW TRULY FOUL THEY ARE AND FIGHT BACK
So FUCK ROBERT A DOUGLASS
Bully beatdown got a girl bully this time.
@UKBrawlers i can't
Feeling so sorry for the girls, they should be safe and Kat and Andre should be going home #MKR
My Patreon is acting weird. Just got a monthly payment (yay!) but when I go to how I get paid"", it says I need to become a creator.",not_cyberbullying,181
25411,"@Sweetie_Niesha: So Im getting bullied via twitter by @TheVicSmith
@hridaybala I don't read breitbart ;)
RT @Spacekatgal: I &lt;3 both of you. The scene in Captain America with the grenade? I'd do that for both of you. &lt;3 @freebsdgirl @thequinnspi…
Grey lion. #norman #mainecoon #maine #coon #kat #cat #pet #grey #lion #lay #window #look #eyes #paw… https://t.co/YgWFyCndDb
@brennalevitin still working on getting my language right. i make mistakes sometimes. &gt;.&gt;
He is not all there. And I guess he keeps forgetting that the dog just went outside and ughhhh I want to sleep.
I'm talking about people that take an active stand to say they want to create solutions for harassment, but do nothing beyond get RTed.
@ItsSeanMcclam lol.. you bully :(
@KellsKells_ I never bully you :) the hated words going about.. X
@Asperger_Mom The one that Zoey is claiming that I am bullying"" her .. where she defames and libels me ... Lisa Jo Rudy's blog yesterday.",other_cyberbullying,159
25939,"If cats looked like frogs we'd realize what nasty, cruel little
http://t.co/ZxbZV39jru: Cat Attacks Pork Rib http://t.co/T6GF93F2sp #attacks #coon #maine #pork
@Brysynner I wrote a tool so people wouldn't have to listen to their hate filled rants.
@almafeta I think women in general have issues talking about money for activism. Lots of articles on this.
http://t.co/ZxbZV39jru: Maine Coon Babys www.#of-loveliness.de http://t.co/hnuMt7cCMK #babys #coon #maine
@alexlifschitz @pravyy_ wow. this is great.
Not looking for FTE outside of my anti-harassment org ;) @sebkha
@zeynep @twitter @delbius omg, is that what happened? i keep hitting the wrong button.
@dreamachineries yup. my other dog's name is leo. :)
@knouase Oh you could be right plus didn't Shelly try to bully her.
""Feminazi is a real timesaver, because someone saying that just freed you from listening to them ever..."" http://t.co/xAxGqLzYNk",other_cyberbullying,135
4846,"@andrea_gcav: @viviaanajim recuerdas como nosotras también eramos victimas del bullying/ jajaja callate marce! Cuando? Nosotras bulleabamos
@SadSuspenders I'm a shark. But you're super cute too!
Sick of the word Sassy!! #mkr
Nap time until lunchtime
RT @infamousKlaus: #Shingal :#HPG/#YBS: .... bomb laden vehicle destroyed today morning / at least 8 #ISIS terrorists killed today  #sinja…
I'm so sick of #MKR and the ridiculous scoring methods. I don't buy it. #MKR
RT @Msloulou77: We have hope but no cooking ability. Well, that's a winning combo. #MKR
If you don't like doing nice things for your female significant other and find it a chore to do once a year, you probably don't love them.
RT @simonefiasco: I'm being attacked by black feminist twitter"" loosely translates to ""I said something terrible &amp; women are explaining wh…",not_cyberbullying,133
44294,"@JasmineLovvee If He Dont Want You Well Fuck Him , He Aint Worth Your Tears , Never Sweat A Dumb Nigger .
@kalee_FromTheL how do you sound I'm like 85 you mad dumb go fuck with a Black nigger broke ass
@BahkariBoy @Tjsotomayor He does care about black people. He just don't give a damn about dumb niggers that will never learn. Fuck em.
How you gonna preach about not twitting for attention when all you tweet about is snow bunnys who gives a fuck you dumb nigger
Company profile NKC COON HUNTING, INCORPORATED - http://t.co/YK1TMdLgTj  #NKC #COON #HUNTING, #INCORPORATED
they’re disgusting, anti black, anti women, anti nigger people
@DeJuan45: “@iBrettAdkins: @DeJuan45 fuck you! JUSTICE FOR GEORGE YOU DUMB NIGGER!” Wow smh!!! So lucky!!!!""ignorant MF!!!!!!!",ethnicity,125
21241,"And yet God was able to meet their needs using radical, everyday generosity.” You may be familiar with the call, but each story is very different. This week we are sharing stories from of some of the full-time Christian Workers we support.
i have and i chose whats best for me but saying all else are idiots is wrong neither did i say about your religion you cant say the same about mine
RT @riwired: And every Muslim is a slave of Allah"" the more religious or ""Islamic"" the more damage and danger there is.@VileIslam  @ORehaf…",religion,96
42078,"FUCK TRAYVON and FUCK YOU! The lil thug nigger acted a fool and got his dumb... dope smoking ass shot up!... http://fb.me/2s0Afuxk1
Some niggers are dumb as fuck in UJ. They go ask a gal for a R2 than they happy. No numbers and they say they have macked. Mxm!
RT @RyanHarris24: If you still call black people niggers or coons, you need to grow the fuck up. You just make yourself look dumb as hell.""",ethnicity,76
42651,"Ayy Marco my dude I remember one of our first interactions it was that video of the anime girl in a store I knew u were gonna be a great fren super funny and shit, I was right. Ur one of my fav people in this shitty app and I wish I weren't a shy mf so I could vc w u all the time",ethnicity,65
11082,still a female unless u a male so if u a male then wat up bruh bt if u not then guess what you a female. Y’all trying to argue at something that y’all are. I’m pretty sure you not a bitch bt I’m just you call yoself a real bitch right or wrong. So u a female even if u think u not,gender,64
34482,"a lot of girls message me &amp; ask me what i do to get my waist so small, so i thought i’d just post it on here for everyone! i actually drink Fit Tea &amp; use It Works every day. No! i’m NOT lying to you bc you bullied &amp; slut shamed me in high school, this is how i do it! i swear!",age,64
34891,And my brother is soper luky to have me bcos he gets bullied at school and my brother age is 15 btw and I'm 11 and i dont get bullied but i rip the bullies guts i took care of them no on mess weth me or my big brother but i qant yo know way am i stronger the my big bro ???,age,64
37624,"when ur friend makes a group chat for a game where u have to team up with people from ur high school bc he wants to Have Fun in Quarantine and u dont want to be an asshole &amp; say No, and the girl that Bullied You but u Also Had a Crush On is DMing you bc u have to Team Up Together",age,64
8474,So I know. That CWs are a fucking joke now but some things should still fucking have them just my take just my onion but I rly wish there was like. At LEAST a csa warning on / / / / / / / / / / / / “dad had girlfriend rape son with autism because he thought boy was gay” article,gender,63
36235,tagged by older friend I bully 5 facts about me 1. I liked a grade school friend so much I started to write my 2's and y's like her. still do 2. I had a pet tarantula when I was bapey 3. hips are my fav body part 4. my first drawing was about a spider 5. legal luke is my #1 waifu,age,63
